DATE,vwretd
20200228,-0.077918

20200331,-0.141733

20200430,0.129677

20200529,0.053739

20200630,0.025299

20200731,0.055529

20200831,0.068443

20200930,-0.035057

20201030,-0.020178

20201130,0.123707

20201231,0.045048
